Container, CPU %, Memory Usage

baf7c9189079,2.85%,6.359MiB / 7.76GiB
9b59959dfee9,2.81%,6.301MiB / 7.76GiB
ed967aebca50,3.02%,6.344MiB / 7.76GiB
03eb382ba2a1,2.76%,6.328MiB / 7.76GiB
9f709ed99908,23.08%,5.57MiB / 7.76GiB
baf7c9189079,0.20%,6.352MiB / 7.76GiB
9b59959dfee9,0.16%,6.352MiB / 7.76GiB
ed967aebca50,0.16%,6.312MiB / 7.76GiB
03eb382ba2a1,0.17%,6.355MiB / 7.76GiB
9f709ed99908,4.16%,6.211MiB / 7.76GiB
baf7c9189079,0.17%,6.449MiB / 7.76GiB
9b59959dfee9,0.16%,6.461MiB / 7.76GiB
ed967aebca50,0.15%,6.465MiB / 7.76GiB
03eb382ba2a1,0.16%,6.465MiB / 7.76GiB
9f709ed99908,0.17%,6.383MiB / 7.76GiB
baf7c9189079,0.15%,6.418MiB / 7.76GiB
9b59959dfee9,0.16%,6.434MiB / 7.76GiB
ed967aebca50,0.17%,6.461MiB / 7.76GiB
03eb382ba2a1,0.16%,6.457MiB / 7.76GiB
9f709ed99908,0.17%,6.352MiB / 7.76GiB
baf7c9189079,0.17%,6.5MiB / 7.76GiB
9b59959dfee9,0.16%,6.559MiB / 7.76GiB
ed967aebca50,0.18%,6.512MiB / 7.76GiB
03eb382ba2a1,0.13%,6.547MiB / 7.76GiB
9f709ed99908,0.14%,6.516MiB / 7.76GiB
baf7c9189079,0.16%,6.531MiB / 7.76GiB
9b59959dfee9,0.16%,6.602MiB / 7.76GiB
ed967aebca50,0.20%,6.582MiB / 7.76GiB
03eb382ba2a1,0.16%,6.582MiB / 7.76GiB
9f709ed99908,0.16%,6.457MiB / 7.76GiB
